gene,gene_category
AAMP,common essential
AARS,common essential
AASDHPPT,common essential
ABCB7,common essential
ABCE1,common essential
ABCF1,common essential
ABT1,common essential
ACO2,common essential
ACTL6A,common essential
ACTR10,common essential
ACTR3,common essential
ACTR6,common essential
ACTR8,common essential
ADAT2,common essential
ADSL,common essential
AFG3L2,common essential
AHCY,common essential
AIFM1,common essential
AKIRIN2,common essential
ALDOA,common essential
ALG1,common essential
ALG11,common essential
ALG13,common essential
ALG14,common essential
ALG2,common essential
ALG8,common essential
ALYREF,common essential
AMD1,common essential
ANAPC10,common essential
ANAPC11,common essential
ANAPC15,common essential
ANAPC4,common essential
ANAPC5,common essential
ANKLE2,common essential
ANLN,common essential
AP2S1,common essential
AQR,common essential
ARCN1,common essential
ARGLU1,common essential
ARL2,common essential
ARMC7,common essential
ARPC4,common essential
ASCC3,common essential
ATIC,common essential
ATL2,common essential
ATP13A1,common essential
ATP1A1,common essential
ATP2A2,common essential
ATP6AP2,common essential
ATP6V0B,common essential
ATP6V0C,common essential
ATP6V0D1,common essential
ATP6V1A,common essential
ATP6V1D,common essential
ATP6V1E1,common essential
ATP6V1G1,common essential
ATR,common essential
ATRIP,common essential
ATRX,common essential
BARD1,common essential
BCAS2,common essential
BCCIP,common essential
BCL2L1,common essential
BCS1L,common essential
BDP1,common essential
BET1,common essential
BIRC5,common essential
BLM,common essential
BMS1,common essential
BNIP1,common essential
BOD1L1,common essential
BORA,common essential
BPTF,common essential
BRCA1,common essential
BRCA2,common essential
BRD4,common essential
BRD8,common essential
BRF1,common essential
BRIX1,common essential
BTAF1,common essential
BUB1B,common essential
BUB3,common essential
BUD13,common essential
BUD31,common essential
BYSL,common essential
C12orf45,common essential
C15orf41,common essential
C18orf21,common essential
C1orf131,common essential
C9orf78,common essential
CAD,common essential
CARS,common essential
CCDC115,common essential
CCDC130,common essential
CCDC84,common essential
CCDC86,common essential
CCNA2,common essential
CCNH,common essential
CCNK,common essential
CCP110,common essential
CCT2,common essential
CCT3,common essential
CCT4,common essential
CCT5,common essential
CCT6A,common essential
CCT7,common essential
CD3EAP,common essential
CDC123,common essential
CDC16,common essential
CDC20,common essential
CDC23,common essential
CDC37,common essential
CDC40,common essential
CDC45,common essential
CDC5L,common essential
CDC6,common essential
CDC7,common essential
CDC73,common essential
CDCA5,common essential
CDIPT,common essential
CDK1,common essential
CDK12,common essential
CDK9,common essential
CDT1,common essential
CEBPZ,common essential
CENPA,common essential
CENPH,common essential
CENPJ,common essential
CENPL,common essential
CENPM,common essential
CENPN,common essential
CENPW,common essential
CEP135,common essential
CEP152,common essential
CEP192,common essential
CEP57,common essential
CEP85,common essential
CEP97,common essential
CFDP1,common essential
CHAF1A,common essential
CHAF1B,common essential
CHEK1,common essential
CHERP,common essential
CHMP2A,common essential
CHMP3,common essential
CHMP4B,common essential
CHMP6,common essential
CHORDC1,common essential
CIAO1,common essential
CINP,common essential
CKAP5,common essential
CLASRP,common essential
CLNS1A,common essential
CLP1,common essential
CLTC,common essential
CMPK1,common essential
CNOT1,common essential
CNOT2,common essential
CNOT3,common essential
COA5,common essential
COASY,common essential
COG2,common essential
COG3,common essential
COG4,common essential
COG8,common essential
COPA,common essential
COPB1,common essential
COPB2,common essential
COPE,common essential
COPG1,common essential
COPS2,common essential
COPS3,common essential
COPS4,common essential
COPS6,common essential
COPZ1,common essential
COQ4,common essential
COQ5,common essential
COX10,common essential
COX15,common essential
COX5B,common essential
COX6B1,common essential
CPSF2,common essential
CPSF3,common essential
CPSF6,common essential
CRCP,common essential
CRLS1,common essential
CRNKL1,common essential
CSE1L,common essential
CSNK1A1,common essential
CSNK2B,common essential
CSTF1,common essential
CSTF3,common essential
CTC1,common essential
CTCF,common essential
CTDP1,common essential
CTNNBL1,common essential
CTPS1,common essential
CTR9,common essential
CTU1,common essential
CTU2,common essential
CUL1,common essential
CUL2,common essential
CWC22,common essential
CWF19L2,common essential
DAD1,common essential
DAP3,common essential
DARS,common essential
DARS2,common essential
DBR1,common essential
DCPS,common essential
DCTN2,common essential
DCTN3,common essential
DCTN4,common essential
DCTN5,common essential
DDB1,common essential
DDOST,common essential
DDX18,common essential
DDX20,common essential
DDX21,common essential
DDX23,common essential
DDX24,common essential
DDX27,common essential
DDX39B,common essential
DDX3X,common essential
DDX46,common essential
DDX47,common essential
DDX49,common essential
DDX51,common essential
DDX54,common essential
DDX55,common essential
DDX56,common essential
DDX59,common essential
DDX6,common essential
DENR,common essential
DGCR8,common essential
DHDDS,common essential
DHFR,common essential
DHX15,common essential
DHX33,common essential
DHX35,common essential
DHX36,common essential
DHX38,common essential
DHX8,common essential
DHX9,common essential
DIDO1,common essential
DIMT1,common essential
DIS3,common essential
DKC1,common essential
DLD,common essential
DLST,common essential
DMAP1,common essential
DNAJA3,common essential
DNAJC11,common essential
DNAJC2,common essential
DNAJC9,common essential
DNM1L,common essential
DNM2,common essential
DNMT1,common essential
DNTTIP2,common essential
DONSON,common essential
DPH5,common essential
DR1,common essential
DSN1,common essential
DTL,common essential
DTYMK,common essential
DYNC1H1,common essential
DYNLRB1,common essential
E4F1,common essential
EBNA1BP2,common essential
ECD,common essential
ECT2,common essential
EEF1A1,common essential
EEF2,common essential
EEFSEC,common essential
EFTUD2,common essential
EHMT1,common essential
EIF1,common essential
EIF1AD,common essential
EIF2B1,common essential
EIF2B2,common essential
EIF2B3,common essential
EIF2B4,common essential
EIF2B5,common essential
EIF2S1,common essential
EIF2S3,common essential
EIF3A,common essential
EIF3B,common essential
EIF3D,common essential
EIF3I,common essential
EIF3J,common essential
EIF3M,common essential
EIF4A1,common essential
EIF4A3,common essential
EIF4E,common essential
EIF4G1,common essential
EIF5,common essential
EIF5B,common essential
EIF6,common essential
ELAC2,common essential
ELL,common essential
ELP2,common essential
ELP4,common essential
ELP5,common essential
ELP6,common essential
EMC3,common essential
ENO1,common essential
EPRS,common essential
ERCC2,common essential
ERCC3,common essential
ERCC4,common essential
ESF1,common essential
ETF1,common essential
EWSR1,common essential
EXOC1,common essential
EXOC2,common essential
EXOC4,common essential
EXOC5,common essential
EXOSC1,common essential
EXOSC10,common essential
EXOSC2,common essential
EXOSC3,common essential
EXOSC5,common essential
EXOSC7,common essential
EXOSC8,common essential
EXOSC9,common essential
FAM210A,common essential
FAM50A,common essential
FAM98B,common essential
FARSA,common essential
FARSB,common essential
FBL,common essential
FCF1,common essential
FDXR,common essential
FEN1,common essential
FH,common essential
FIP1L1,common essential
FNBP4,common essential
FNTB,common essential
FTSJ3,common essential
FXN,common essential
GADD45GIP1,common essential
GAPDH,common essential
GAR1,common essential
GARS,common essential
GART,common essential
GATC,common essential
GBF1,common essential
GEMIN2,common essential
GEMIN5,common essential
GEMIN8,common essential
GET4,common essential
GFER,common essential
GFM1,common essential
GGPS1,common essential
GINS1,common essential
GINS2,common essential
GINS3,common essential
GLE1,common essential
GMNN,common essential
GMPS,common essential
GNB1L,common essential
GNL2,common essential
GNL3,common essential
GNL3L,common essential
GON4L,common essential
GOSR2,common essential
GPATCH1,common essential
GPKOW,common essential
GPN1,common essential
GPN2,common essential
GPN3,common essential
GRB2,common essential
GRPEL1,common essential
GRWD1,common essential
GSPT1,common essential
GTF2A1,common essential
GTF2A2,common essential
GTF2B,common essential
GTF2E1,common essential
GTF2H3,common essential
GTF3C1,common essential
GTF3C3,common essential
GTF3C4,common essential
GTF3C5,common essential
GTPBP4,common essential
GUK1,common essential
HARS,common essential
HARS2,common essential
HAUS1,common essential
HAUS3,common essential
HAUS4,common essential
HAUS5,common essential
HAUS7,common essential
HAUS8,common essential
HBS1L,common essential
HCFC1,common essential
HEATR1,common essential
HINFP,common essential
HJURP,common essential
HMGCR,common essential
HMGCS1,common essential
HNRNPA2B1,common essential
