feature,target,score_ind,score_rd,score_full,varExp_ofFull,varExp_ofRd,feat_idx,feat_gene,feat_source,Class
FASN (2194) [CERES],ACACA,0.36564,0.3499,0.0524,6.9778600000000015,1.04498,1,FASN,CERES,0
FASN (2194) [CERES],ACLY,0.24158,0.39931,0.07137,3.3849,0.6049899999999999,1,FASN,CERES,0
FASN (2194) [CERES],GPI,-0.17094,0.29691,0.03684,-4.64007,-0.57573,6,FASN,CERES,0
FASN (2194) [CERES],PTDSS1,-0.02363,0.13769,0.07579,-0.31178,-0.17162,4,FASN,CERES,0
FASN (2194) [CERES],SCD,0.23804,0.65292,0.11816,2.01456,0.36458,7,FASN,CERES,0
FASN (2194) [CERES],WRB,-0.14511,0.57758,0.05168,-2.80786,-0.25124,4,FASN,CERES,0
SCD (6319) [CERES],ACACA,-0.08252999999999999,0.3499,0.0524,-1.575,-0.23587,2,SCD,CERES,0
SCD (6319) [CERES],ACLY,-0.005370000000000001,0.39931,0.07137,-0.07524,-0.01345,2,SCD,CERES,0
SCD (6319) [CERES],CYB5B,0.15587,0.52765,0.07351,2.12039,0.2954,1,SCD,CERES,0
SCD (6319) [CERES],DNAJC11,-0.00427,0.41462,0.05365,-0.07959,-0.0103,7,SCD,CERES,0
SCD (6319) [CERES],FASN,-0.061979999999999986,0.58758,0.13105,-0.47295,-0.10548,5,SCD,CERES,0
SCD (6319) [CERES],GPX4,0.18642,0.58777,0.11736,1.58845,0.31716,7,SCD,CERES,0
SCD (6319) [CERES],MBTPS1,0.37,0.65558,-0.0012,-308.33333,0.56439,3,SCD,CERES,0
SCD (6319) [CERES],MBTPS2,0.28183,0.45193,0.05966000000000001,4.72394,0.62361,3,SCD,CERES,0
SCD (6319) [CERES],SCAP,0.46793,0.67416,0.0542,8.633389999999999,0.69409,2,SCD,CERES,0
SCD (6319) [CERES],SREBF1,0.27588,0.45368,0.01361,20.27039,0.6080899999999999,2,SCD,CERES,0
HSD17B12 (51144) [CERES],ACACA,0.00121,0.3499,0.0524,0.02309,0.00346,3,HSD17B12,CERES,0
HLCS (3141) [CERES],ACACA,-0.07189,0.3499,0.0524,-1.37195,-0.20546,4,HLCS,CERES,0
PRR3 (ENSG00000204576) [RNA-seq],ACACA,-0.03971,0.3499,0.0524,-0.7578199999999999,-0.11349,5,PRR3,RNA-seq,0
EIF2AK4 (440275) [CERES],ACACA,-0.12112,0.3499,0.0524,-2.31145,-0.34616,6,EIF2AK4,CERES,1
EIF2AK4 (440275) [CERES],GCN1,0.43255,0.4393,-0.00017,-2544.41176,0.98463,1,EIF2AK4,CERES,1
EIF2AK4 (440275) [CERES],PPP1R15B,-0.07028,0.25161,0.096,-0.7320800000000001,-0.27932,8,EIF2AK4,CERES,1
CYB5B (80777) [CERES],ACACA,-0.07214,0.3499,0.0524,-1.3767200000000002,-0.20617,7,CYB5B,CERES,0
CYB5B (80777) [CERES],CNOT1,-0.06898,0.46892,0.00965,-7.14819,-0.1471,8,CYB5B,CERES,0
CYB5B (80777) [CERES],MBTPS1,0.09543,0.65558,-0.0012,-79.525,0.14557,5,CYB5B,CERES,0
CYB5B (80777) [CERES],MBTPS2,-0.08288999999999999,0.45193,0.05966000000000001,-1.38937,-0.18341,5,CYB5B,CERES,0
CYB5B (80777) [CERES],MMGT1,-0.09897,0.61659,0.15261,-0.64852,-0.16051,7,CYB5B,CERES,0
CYB5B (80777) [CERES],SCAP,0.06897,0.67416,0.0542,1.27251,0.10231,5,CYB5B,CERES,0
CYB5B (80777) [CERES],SCD,0.23506,0.65292,0.11816,1.98934,0.36001,2,CYB5B,CERES,0
CYB5B (80777) [CERES],SREBF1,0.1124,0.45368,0.01361,8.25863,0.24775,4,CYB5B,CERES,0
CAST (ENSG00000153113) [RNA-seq],ACACA,-0.04738,0.3499,0.0524,-0.9042,-0.13541,8,CAST,RNA-seq,1
CAST (ENSG00000153113) [RNA-seq],SEPHS2,-0.06057000000000001,0.46957,0.0715,-0.8471299999999999,-0.12899000000000002,6,CAST,RNA-seq,1
